1,1720444571633,-0.6331323,0.6904399,9.353284
10,1720444571634,0.0212,-0.1064,-0.40719998
4,1720444571633,0.10775663,0.0,-0.002268928
2,1720444571633,37.8125,23.1875,-8.6875
1,1720444572272,-0.78136206,0.7097467,9.944288
10,1720444572274,-0.014099999,0.0128999995,0.18159999
4,1720444572272,-0.011397,-0.010192723,4.712389E-4
2,1720444572271,36.8125,24.8125,-8.75
1,1720444572312,-0.58067054,0.8818898,9.615928
10,1720444572314,0.1497,0.1401,-0.1422
4,1720444572312,-0.0347146,0.02628466,-3.3161257E-4
2,1720444572312,36.75,24.625,-8.25
1,1720444572352,-0.62338305,0.833345,9.733071
10,1720444572354,0.064899996,0.0611,-0.024799999
4,1720444572352,0.028344147,-0.020228365,0.0011519173
2,1720444572352,36.75,24.4375,-8.375
1,1720444572392,-0.69181895,0.777426,9.837688
10,1720444572394,-0.033299997,-0.0166,0.0734
4,1720444572392,-0.0056897732,0.010646508,-4.363323E-4
2,1720444572392,37.125,24.4375,-8.5
1,1720444572433,-0.62749153,0.8416098,9.710116
10,1720444572435,0.0264,0.02,-0.0536
4,1720444572433,-0.013648475,0.009546951,5.410521E-4
2,1720444572431,37.125,24.3125,-8.5
1,1720444572472,-0.66023463,0.8042889,9.792266
10,1720444572475,0.0175,0.011299999,0.0343
4,1720444572472,0.0017278759,-0.0036651914,5.5850536E-4
2,1720444572472,37.1875,24.25,-8.6875
1,1720444572511,-0.66788656,0.79276806,9.746699
10,1720444572515,0.0039999997,0.0034999999,-0.0150999995
4,1720444572511,0.0024260078,-0.002565634,2.0943952E-4
2,1720444572511,37.25,23.875,-9.0
1,1720444572552,-0.6543162,0.78267413,9.748863
10,1720444572555,0.0042999997,-0.0083,-0.0155
4,1720444572552,-0.0023038345,-2.0943952E-4,-5.5850536E-4
2,1720444572551,37.1875,24.125,-8.8125
1,1720444572592,-0.6470186,0.8146702,9.731272
10,1720444572594,0.0117,0.026999999,-0.0252
4,1720444572592,0.0025830872,-6.6322513E-4,2.2689281E-4
2,1720444572592,37.0625,24.0625,-8.875
1,1720444572632,-0.6520178,0.81812745,9.768936
10,1720444572634,1.0E-4,0.0123,0.015
