1,1720785067317,-1.0423971,9.825775,0.51438946
10,1720785067321,-0.9697,1.0E-4,0.4824
4,1720785070037,-0.47050586,-5.3038464,0.31627113
2,1720785067336,-18.625,-40.8125,13.25
1,1720785070057,0.851426,10.292625,-0.3681612
10,1720785070059,0.0412,0.50879997,-0.0179
4,1720785070057,-0.38180822,-5.078995,0.2894803
2,1720785070057,-4.875,-43.6875,16.3125
1,1720785070096,0.24925555,9.625352,0.08875784
10,1720785070098,-0.5409,-0.1475,0.45279998
4,1720785070096,-0.9589188,-4.52618,-0.10086258
2,1720785070096,-2.8125,-44.6875,14.5625
1,1720785070136,1.5304312,10.416262,2.2462592
10,1720785070139,0.8663,0.62009996,2.189
4,1720785070137,-0.25764552,-2.173249,-0.23886576
2,1720785070136,-0.875,-44.75,13.5625
1,1720785070177,0.5689294,10.117609,0.92974514
10,1720785070178,-0.006,0.3211,0.7919
4,1720785070177,0.101525806,-3.1626937,-0.45251152
2,1720785070176,1.5625,-44.9375,13.0625
1,1720785070216,-0.028883649,10.500194,0.14948438
10,1720785070219,-0.4622,0.6983,-0.0563
4,1720785070216,-0.4942947,-3.23598,-0.21533872
2,1720785070216,3.5625,-45.1875,11.25
1,1720785070256,1.6823577,10.098034,1.4932445
10,1720785070258,1.2840999,0.2993,1.097
4,1720785070257,0.11349876,-5.194763,-0.9532465
2,1720785070256,6.1875,-45.1875,9.125
1,1720785070297,2.5849526,4.6623726,1.5869343
10,1720785070299,2.4498,-5.1535,1.2972
4,1720785070297,0.79590505,-11.076819,-2.1479244
2,1720785070297,11.4375,-44.375,5.875
1,1720785070336,-3.1243567,11.818345,-1.3153648
10,1720785070338,-2.8408,2.0149,-1.4189999
4,1720785070336,0.12320279,-8.566495,0.8891231
2,1720785070336,11.8125,-43.75,1.875
1,1720785070376,4.5569415,11.656266,3.6182325
10,1720785070379,4.2822,1.8489,3.4174
4,1720785070377,-0.096918136,-4.370514,0.57983327
2,1720785070376,9.375,-43.8125,-1.5
1,1720785070416,0.3662171,9.435923,0.81073415
10,1720785070418,-0.0611,-0.3691,0.5196
4,1720785070416,-0.37156314,-2.478612,-0.44184756
2,1720785070416,8.25,-42.8125,-4.0
1,1720785070456,2.8744402,10.335098,0.20730914
10,1720785070459,2.4129,0.5349,-0.1118
4,1720785070456,0.5436526,-5.2516785,-0.24371777
2,1720785070457,6.625,-42.75,-6.3125
1,1720785070496,1.0224295,10.277034,-0.63131267
10,1720785070499,0.5581,0.47129998,-0.6252
