1,1720784601096,0.18624975,8.7935295,-0.032379184
10,1720784601100,-1.0244,-0.9436,-0.23789999
4,1720784608420,0.1084024,0.026633725,-0.4147426
2,1720784601097,-39.1875,-11.375,-4.25
1,1720784608456,-0.5168603,9.978601,-0.48188576
10,1720784608438,-0.0148,0.6584,-0.0277
4,1720784608456,0.16631243,0.034348078,-0.17826793
2,1720784608456,-28.3125,-4.875,2.5
1,1720784608496,0.18361612,10.456839,-1.1975893
10,1720784608499,0.5119,0.6573,-0.6698
4,1720784608496,0.2035403,0.005654867,-0.09813987
2,1720784608496,-27.75,-5.0,2.75
1,1720784608536,0.37302622,10.581855,-0.8477581
10,1720784608539,0.7104,0.7905,-0.2166
4,1720784608536,0.20046851,-0.015027285,-0.040107667
2,1720784608536,-27.625,-5.125,2.75
1,1720784608576,0.90443367,10.446715,-0.7440221
10,1720784608578,1.2113999,0.6599,-0.0061
4,1720784608576,0.43392375,-0.17224655,-0.01574287
2,1720784608576,-27.4375,-5.5625,3.5
1,1720784608616,-0.2971013,12.456179,-1.6614516
10,1720784608619,0.0139999995,2.687,-0.7172
4,1720784608617,0.49974012,-0.20525073,-0.06352998
2,1720784608616,-27.0,-5.9375,4.125
1,1720784608657,-0.64776564,12.940191,1.0760884
10,1720784608658,-0.2977,3.191,2.1232998
4,1720784608657,0.31236157,-0.17739527,0.012583824
2,1720784608656,-26.75,-6.25,4.8125
1,1720784608696,-0.3703351,10.208914,0.97739935
10,1720784608699,-0.0296,0.4718,2.0898
4,1720784608697,0.274645,0.04520403,0.16997762
2,1720784608696,-26.6875,-6.8125,5.5
1,1720784608736,-1.0032376,7.3445587,0.8681471
10,1720784608738,-0.7163,-2.4069998,1.9393
4,1720784608736,0.07237881,0.35594246,0.13871877
2,1720784608736,-26.625,-7.0625,5.375
1,1720784608776,-2.277336,7.2088747,1.0511311
10,1720784608778,-1.9271,-2.5758,1.7646999
4,1720784608777,-0.025359634,0.41542327,0.19844393
2,1720784608776,-26.8125,-7.3125,5.1875
1,1720784608816,-1.2427248,9.302882,0.3707182
10,1720784608798,-1.4318999,-1.4419999,0.7661
4,1720784608816,-0.24822073,0.3896273,0.279689
2,1720784608816,-26.9375,-7.75,5.3125
1,1720784608856,0.5491916,10.745483,1.3959346
10,1720784608859,1.0724,0.9478,1.1970999
4,1720784608857,-0.24942501,0.47891834,0.14671238
2,1720784608856,-26.875,-8.0625,4.875
1,1720784608896,-0.17010324,9.881808,0.5975257
10,1720784608898,0.3417,0.0782,0.2262
4,1720784608896,-0.21326178,0.5116258,-0.051173054
2,1720784608897,-27.125,-8.3125,4.5
1,1720784608936,-0.9227349,8.761561,0.27061182
10,1720784608918,-0.0514,-0.6238,-0.0459
4,1720784608937,-0.16439256,0.33658674,-0.038414698
2,1720784608936,-27.125,-8.625,4.125
1,1720784608976,-0.2951955,9.119428,0.21468328
10,1720784608978,0.2571,-0.65889996,-0.4553
4,1720784608977,-0.20001473,0.18842575,0.08644616
2,1720784608976,-26.75,-8.875,3.8125
1,1720784609016,0.104798995,9.202584,0.25607425
10,1720784608998,0.4728,-0.53,-0.3737
4,1720784609017,-0.1550376,0.04951499,0.031136673
2,1720784609016,-26.9375,-9.0,3.4375
1,1720784609056,-0.3270767,9.325684,0.4636515
10,1720784609058,0.15439999,-0.44869998,-0.31379998
4,1720784609057,-0.084107414,-0.039461896,-0.03764675
2,1720784609056,-26.8125,-9.25,3.625
1,1720784609096,-1.2815491,9.251962,0.84966385
10,1720784609078,-0.4592,-0.32009998,-0.12889999
4,1720784609096,0.062308256,-0.101543255,0.07258824
2,1720784609096,-26.6875,-9.5625,3.625
1,1720784609136,-0.8740656,9.382943,0.21181981
10,1720784609138,-0.408,-0.3935,-0.5258
4,1720784609137,0.23230332,-0.13412856,0.14051646
2,1720784609136,-26.75,-9.5,3.25
1,1720784609176,-1.0909132,9.831827,0.0017812861
10,1720784609159,-0.59529996,-0.2609,-0.6999
4,1720784609176,0.23211133,0.0323235,0.23471187
2,1720784609176,-26.75,-9.3125,3.1875
1,1720784609216,-0.7481785,10.141676,-0.32411745
10,1720784609218,-0.3997,0.343,-0.8242
4,1720784609216,0.2908242,-0.10847221,0.23071507
2,1720784609216,-26.5,-9.375,3.125
1,1720784609256,-0.09345048,11.409252,1.5310537
10,1720784609238,-0.6164,0.41669998,-0.70919997
4,1720784609257,0.63507295,0.0339292,0.23554963
2,1720784609256,-26.8125,-9.25,3.4375
1,1720784609296,-0.39504328,16.061148,-0.6407363
10,1720784609299,-0.16409999,6.25,-0.7341
4,1720784609296,-0.13920747,0.5595002,0.11327187
2,1720784609296,-27.1875,-9.5625,3.25
1,1720784609336,1.115564,12.185175,1.8046343
10,1720784609339,1.3014,2.3759,1.6704999
4,1720784609337,0.31606168,0.43968335,0.1256288
2,1720784609336,-27.1875,-9.875,3.1875
1,1720784609376,1.7684723,7.4139233,1.3406668
10,1720784609379,1.9006,-2.4015,1.2961
4,1720784609376,0.059184115,0.5956809,-0.13725269
2,1720784609376,-27.375,-10.1875,3.375
1,1720784609416,-1.8982667,6.2077723,1.3809564
10,1720784609398,-0.3294,-3.6761,2.2686
4,1720784609417,0.1449845,0.8515636,0.0070685833
2,1720784609416,-27.25,-10.625,2.9375
1,1720784609456,-1.0316136,8.198905,0.31606334
10,1720784609459,-0.8548,-1.6166999,0.3204
4,1720784609456,-0.16519542,0.922581,0.17847736
2,1720784609456,-27.375,-10.8125,2.625
1,1720784609496,-0.20474255,10.469987,1.6660005
10,1720784609478,-0.5259,-0.4894,0.71959996
4,1720784609496,-0.2865656,1.0512118,0.15550883
2,1720784609497,-27.1875,-11.0625,2.375
1,1720784609536,0.9112236,11.546756,1.314637
10,1720784609538,0.95909995,1.7278999,1.1166999
4,1720784609536,-0.16395622,1.1557919,-0.030578168
2,1720784609536,-26.875,-11.1875,1.75
1,1720784609576,-0.4641112,9.534334,0.42590934
10,1720784609558,0.362,0.7579,0.5607
4,1720784609576,-0.17741272,1.37977,-0.18668042
2,1720784609576,-26.4375,-11.375,1.0625
1,1720784609616,-0.7628597,8.978754,1.0126995
10,1720784609618,-0.56979996,-0.8261,0.6663
4,1720784609616,-0.13622294,1.5055559,-0.020629792
2,1720784609616,-25.625,-11.6875,0.4375
1,1720784609657,-0.20578642,9.644457,0.74793905
10,1720784609638,0.0349,-0.47169998,0.90309995
4,1720784609657,-0.008307767,1.4626732,0.059969515
2,1720784609656,-25.125,-11.875,-0.375
1,1720784609697,-0.069422275,9.869483,0.35244566
10,1720784609699,0.153,0.058799997,-0.0416
4,1720784609697,-0.054768432,1.4003649,0.074874625
2,1720784609697,-24.125,-11.75,-0.875
1,1720784609736,0.23541707,9.697417,0.21146546
10,1720784609718,0.1024,0.010199999,0.0744
4,1720784609736,-0.026214845,1.2737762,0.11271336
2,1720784609736,-23.25,-11.75,-0.9375
1,1720784609777,-0.24823083,9.576921,0.5947197
10,1720784609779,-0.0371,-0.2242,0.16569999
4,1720784609777,-0.012304571,1.2816825,0.047088984
2,1720784609777,-22.1875,-12.375,-1.0
1,1720784609817,-0.1429051,9.760719,0.6502173
10,1720784609799,-0.0336,-0.1946,0.3389
